,dropoff_datetime,dropoff_latitude,dropoff_longitude,dropoff_taxizone_id,ehail_fee,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_datetime,pickup_latitude,pickup_longitude,pickup_taxizone_id,rate_code_id,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,trip_distance,trip_type,vendor_id,trip_id
81,2009-01-01 00:11:33,40.7099,-73.95277,256.0,,0.0,9.4,,,,"""Cash""",2009-01-01 00:01:37,40.712963,-73.90663,198.0,,,0.0,0.0,9.4,2.5,"""yellow""","""CMT""",81
82,2009-01-01 00:10:46,40.739643,-73.979805,137.0,,0.0,8.2,,,,"""Cash""",2009-01-01 00:01:38,40.74087,-74.00497,68.0,,,0.0,0.0,8.2,2.1,"""yellow""","""CMT""",82
83,2009-01-01 00:14:59,40.784267,-73.95002,236.0,,0.0,12.6,,,,"""Cash""",2009-01-01 00:01:40,40.736958,-73.988846,234.0,,,0.0,0.0,12.6,4.2,"""yellow""","""CMT""",83
84,2009-01-01 00:15:09,0.0,0.0,,,0.0,10.6,,,,"""Credit""",2009-01-01 00:01:41,0.0,0.0,,,,1.59,0.0,12.19,2.5,"""yellow""","""CMT""",84
85,2009-01-01 00:21:46,40.679043,-74.00556999999998,195.0,,0.0,17.0,,,,"""Cash""",2009-01-01 00:01:41,40.7297,-74.000916,114.0,,,0.0,5.0,22.0,5.6,"""yellow""","""CMT""",85
86,2009-01-01 00:20:25,40.803493,-73.96925,24.0,,0.0,19.0,,,,"""Credit""",2009-01-01 00:01:43,40.726288,-73.998375,114.0,,,3.8,0.0,22.8,6.7,"""yellow""","""CMT""",86
87,2009-01-01 00:10:31,40.76081,-73.95821,140.0,,0.0,7.0,,,,"""Cash""",2009-01-01 00:01:44,40.769997,-73.96884,43.0,,,0.0,0.0,7.0,1.1,"""yellow""","""CMT""",87
88,2009-01-01 00:24:04,40.7483,-73.87671999999998,82.0,,0.0,21.0,,,,"""Cash""",2009-01-01 00:01:45,40.785522,-73.97301,239.0,,,0.0,0.0,21.0,7.7,"""yellow""","""CMT""",88
89,2009-01-01 00:09:59,40.7348,-74.00314,249.0,,0.0,7.8,,,,"""Cash""",2009-01-01 00:01:45,40.721737,-73.98441,79.0,,,0.0,0.0,7.8,1.6,"""yellow""","""CMT""",89
90,2009-01-01 00:17:44,40.78345,-73.951035,236.0,,0.0,12.2,,,,"""Cash""",2009-01-01 00:01:46,40.76262,-73.986275,48.0,,,0.0,0.0,12.2,3.3,"""yellow""","""CMT""",90
91,2009-01-01 00:08:23,40.741287,-73.99988,90.0,,0.0,7.0,,,,"""Credit""",2009-01-01 00:01:46,40.75289,-73.98348,164.0,,,1.0,0.0,8.0,1.6,"""yellow""","""CMT""",91
92,2009-01-01 00:06:20,40.734306,-73.99085,113.0,,0.0,5.0,,,,"""Cash""",2009-01-01 00:01:46,40.73346,-73.99958000000002,113.0,,,0.0,0.0,5.0,0.7,"""yellow""","""CMT""",92
93,2009-01-01 00:04:42,40.765076,-73.966286,237.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:01:47,40.774063,-73.9568,141.0,,,0.0,0.0,4.6,0.9,"""yellow""","""CMT""",93
94,2009-01-01 00:20:46,40.747845,-73.98675,164.0,,0.0,14.2,,,,"""Cash""",2009-01-01 00:01:47,40.764996,-73.97924,163.0,,,0.0,0.0,14.2,4.2,"""yellow""","""CMT""",94
95,2009-01-01 00:08:27,40.74438,-73.97910999999998,170.0,,0.0,5.4,,,,"""Cash""",2009-01-01 00:01:48,40.744186,-73.98137,170.0,,,0.0,0.0,5.4,0.3,"""yellow""","""CMT""",95
96,2009-01-01 00:22:33,40.762432,-73.990135,48.0,,0.0,13.4,,,,"""Cash""",2009-01-01 00:01:49,40.76375,-73.98165,163.0,,,0.0,0.0,13.4,3.5,"""yellow""","""CMT""",96
97,2009-01-01 00:19:44,40.6679,-73.77078,218.0,,0.5,26.9,,,,"""CASH""",2009-01-01 00:01:49,40.77412800000001,-73.87297,138.0,,,0.0,0.0,27.4,12.0,"""yellow""","""DDS""",97
98,2009-01-01 00:10:01,40.736813,-73.98904,234.0,,0.0,7.4,,,,"""Cash""",2009-01-01 00:01:49,40.719494,-74.00171999999998,144.0,,,0.0,0.0,7.4,1.5,"""yellow""","""CMT""",98
99,2009-01-01 00:14:02,40.755276,-73.83201600000002,92.0,,0.5,13.3,,,,"""CASH""",2009-01-01 00:01:49,40.76898,-73.86272,138.0,,,0.0,0.0,13.8,4.8,"""yellow""","""DDS""",99
